id,TP_fp32,FP_fp32,FN_fp32,TN_fp32,precision_fp32,recall_fp32,f1_fp32,iou_fp32,TP_int8,FP_int8,FN_int8,TN_int8,precision_int8,recall_int8,f1_int8,iou_int8,pixels_fp32_int8_diferentes,max_diff_logits,mean_diff_logits,max_diff_prob
ang20191021t160052_r4608_c0_w512_h512,0,1,0,262143,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,1,12.175658226013184,0.8661283254623413,0.3223212957382202
ang20191021t160052_r5120_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,13.612049102783203,1.294243335723877,0.2118941694498062
ang20191021t160052_r2816_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,10.071999549865723,1.075212836265564,0.006477832328528166
ang20191021t161810_r9728_c0_w512_h512,0,100642,0,161502,0.0,0.0,0.0,0.0,0,99986,0,162158,0.0,0.0,0.0,0.0,5818,10.290178298950195,0.5235683917999268,0.7598193883895874
ang20191021t161810_r9216_c0_w512_h512,0,2768,0,259376,0.0,0.0,0.0,0.0,0,3228,0,258916,0.0,0.0,0.0,0.0,1132,23.447227478027344,1.0717098712921143,0.7321813702583313
ang20191021t161810_r7424_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,34.594425201416016,1.4319169521331787,0.07881586253643036
ang20191021t161810_r2304_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,16.463071823120117,0.969648003578186,0.09408935904502869
ang20191021t163119_r9984_c0_w512_h512,0,9805,0,252339,0.0,0.0,0.0,0.0,0,8230,0,253914,0.0,0.0,0.0,0.0,6413,18.983951568603516,1.138295292854309,0.6307685375213623
ang20191021t163119_r9472_c0_w512_h512,0,123,0,262021,0.0,0.0,0.0,0.0,0,112,0,262032,0.0,0.0,0.0,0.0,17,37.638023376464844,1.1798622608184814,0.3390163779258728
ang20191021t163119_r6656_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,10.511676788330078,1.1969295740127563,0.08952593058347702
ang20191021t163119_r5376_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,12.916547775268555,1.2121446132659912,0.3632388114929199
ang20191021t164905_r6656_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,8.39456844329834,0.6006020903587341,0.04488423839211464
ang20191021t164905_r7168_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,14.98911190032959,0.8724160194396973,0.033608995378017426
ang20191021t164905_r3328_c0_w512_h512,0,16,0,262128,0.0,0.0,0.0,0.0,0,29,0,262115,0.0,0.0,0.0,0.0,15,30.962299346923828,0.8591678142547607,0.30789679288864136
ang20191021t164905_r8192_c0_w512_h512,0,7,0,262137,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,7,46.4085578918457,0.9813446998596191,0.37144550681114197
ang20191021t170142_r5888_c0_w512_h512,0,43588,0,218556,0.0,0.0,0.0,0.0,0,41911,0,220233,0.0,0.0,0.0,0.0,7515,6.995647430419922,0.5119357705116272,0.7909452319145203
ang20191021t170142_r6400_c0_w512_h512,0,2869,0,259275,0.0,0.0,0.0,0.0,0,2665,0,259479,0.0,0.0,0.0,0.0,498,8.049470901489258,0.737000584602356,0.666837215423584
ang20191021t170142_r1280_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,13.517860412597656,0.9482094049453735,0.06768060475587845
ang20191021t170142_r9984_c0_w512_h512,119,194,6,261825,0.3801916932907348,0.952,0.54337899543379,0.3730407523510972,113,158,12,261861,0.41697416974169743,0.904,0.5707070707070707,0.3992932862190813,42,14.925191879272461,1.3903309106826782,0.5464890003204346
ang20191021t171902_r5632_c0_w512_h512,0,1514,0,260630,0.0,0.0,0.0,0.0,0,1700,0,260444,0.0,0.0,0.0,0.0,516,8.216577529907227,0.5846808552742004,0.5264779925346375
ang20191021t171902_r6144_c0_w512_h512,0,23,0,262121,0.0,0.0,0.0,0.0,0,9,0,262135,0.0,0.0,0.0,0.0,32,8.851346969604492,0.6314558386802673,0.19488903880119324
ang20191021t171902_r2048_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,12.69003677368164,1.1023449897766113,0.22113196551799774
ang20191021t171902_r7424_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,13.129936218261719,1.0212992429733276,0.05746341496706009
ang20191021t173221_r10496_c0_w512_h512,0,55,0,262089,0.0,0.0,0.0,0.0,0,51,0,262093,0.0,0.0,0.0,0.0,20,14.703868865966797,0.9418553113937378,0.41543108224868774
ang20191021t173221_r6144_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,21.410430908203125,0.996554434299469,0.012456966564059258
ang20191021t173221_r9728_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,11.906665802001953,1.165402889251709,0.09008435159921646
ang20191021t173221_r7936_c0_w512_h512,0,1717,0,260427,0.0,0.0,0.0,0.0,0,1671,0,260473,0.0,0.0,0.0,0.0,46,45.4464111328125,1.074876070022583,0.29116708040237427
ang20191021t174954_r10752_c256_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,2,0,262142,0.0,0.0,0.0,0.0,2,7.876506805419922,0.7047529220581055,0.23818621039390564
ang20191021t174954_r9472_c256_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,9,0,262135,0.0,0.0,0.0,0.0,9,42.072147369384766,1.520647644996643,0.262886106967926
ang20191021t174954_r2560_c256_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,37.810791015625,1.1610115766525269,0.05481750890612602
ang20191021t174954_r4096_c256_w512_h512,0,3,0,262141,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,3,19.445762634277344,0.9431467652320862,0.5240927934646606
ang20191021t180251_r1280_c0_w512_h512,0,824,0,261320,0.0,0.0,0.0,0.0,0,802,0,261342,0.0,0.0,0.0,0.0,60,17.14432144165039,0.8789852261543274,0.3641897141933441
ang20191021t180251_r512_c0_w512_h512,0,202,0,261942,0.0,0.0,0.0,0.0,0,243,0,261901,0.0,0.0,0.0,0.0,49,16.43546485900879,0.974210262298584,0.41955313086509705
ang20191021t180251_r8448_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,16.22634506225586,1.0306965112686157,0.23481741547584534
ang20191021t180251_r4608_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,16.87021255493164,0.6651879549026489,0.20818975567817688
ang20191021t181927_r9728_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,11.373085021972656,0.9239006638526917,0.21735146641731262
ang20191021t181927_r1280_c0_w512_h512,0,463,0,261681,0.0,0.0,0.0,0.0,0,515,0,261629,0.0,0.0,0.0,0.0,234,9.841182708740234,0.7392381429672241,0.4194870591163635
ang20191021t181927_r6656_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,35.574623107910156,1.0034666061401367,0.4956115782260895
ang20191021t181927_r2048_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,14.556825637817383,1.0151814222335815,0.49707919359207153
ang20191021t183204_r1280_c0_w512_h512,0,256,0,261888,0.0,0.0,0.0,0.0,0,711,0,261433,0.0,0.0,0.0,0.0,455,11.200994491577148,0.825671374797821,0.8148742914199829
ang20191021t183204_r9728_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,10.115701675415039,1.1202327013015747,0.010347798466682434
ang20191021t183204_r3584_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,39.08687210083008,1.0479792356491089,0.03634742647409439
ang20191021t183204_r10496_c0_w512_h512,0,77,0,262067,0.0,0.0,0.0,0.0,0,80,0,262064,0.0,0.0,0.0,0.0,5,28.214435577392578,0.9513814449310303,0.20268487930297852
ang20191021t184841_r10752_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,2,0,262142,0.0,0.0,0.0,0.0,2,13.917312622070312,0.8665263652801514,0.38848641514778137
ang20191021t184841_r10240_c0_w512_h512,0,337,0,261807,0.0,0.0,0.0,0.0,0,337,0,261807,0.0,0.0,0.0,0.0,76,41.364315032958984,1.0693610906600952,0.4047590494155884
ang20191021t184841_r3840_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,44.075321197509766,1.1687273979187012,0.1317022442817688
ang20191021t184841_r9216_c0_w512_h512,0,17,0,262127,0.0,0.0,0.0,0.0,0,23,0,262121,0.0,0.0,0.0,0.0,8,35.35684585571289,1.1033952236175537,0.25299227237701416
ang20191021t190136_r3584_c0_w512_h512,0,33106,0,229038,0.0,0.0,0.0,0.0,0,32692,0,229452,0.0,0.0,0.0,0.0,666,11.332647323608398,0.7916370630264282,0.3800516724586487
ang20191021t190136_r10496_c0_w512_h512,0,9140,0,253004,0.0,0.0,0.0,0.0,0,8287,0,253857,0.0,0.0,0.0,0.0,1711,20.397655487060547,0.9692623615264893,0.7419740557670593
ang20191021t190136_r3072_c0_w512_h512,0,1579,0,260565,0.0,0.0,0.0,0.0,0,1083,0,261061,0.0,0.0,0.0,0.0,498,44.89391326904297,1.1077357530593872,0.37560364603996277
ang20191021t190136_r256_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,9.630656242370605,1.1168363094329834,0.02406252920627594
ang20191021t191828_r10752_c0_w512_h512,0,42,0,262102,0.0,0.0,0.0,0.0,0,70,0,262074,0.0,0.0,0.0,0.0,30,11.331439971923828,0.9430765509605408,0.332675576210022
ang20191021t191828_r3584_c256_w512_h512,0,5804,0,256340,0.0,0.0,0.0,0.0,0,4711,0,257433,0.0,0.0,0.0,0.0,1167,11.810722351074219,1.1486252546310425,0.6701518297195435
ang20191021t191828_r4864_c0_w512_h512,0,91,0,262053,0.0,0.0,0.0,0.0,0,80,0,262064,0.0,0.0,0.0,0.0,105,11.098274230957031,1.046657681465149,0.4982661008834839
ang20191021t191828_r2304_c256_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,14,0,262130,0.0,0.0,0.0,0.0,14,11.961042404174805,0.9464606046676636,0.6216524839401245
ang20191021t193145_r10752_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,10.067523002624512,0.8016226291656494,0.09663074463605881
ang20191021t193145_r10240_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,14.44266128540039,1.0411772727966309,0.06603710353374481
ang20191021t193145_r1536_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,17.946441650390625,0.9063114523887634,0.10239282250404358
ang20191021t193145_r2048_c0_w512_h512,0,108,0,262036,0.0,0.0,0.0,0.0,0,78,0,262066,0.0,0.0,0.0,0.0,30,16.074800491333008,0.8747113943099976,0.48984360694885254
ang20191021t194835_r2048_c0_w512_h512,0,222,0,261922,0.0,0.0,0.0,0.0,0,236,0,261908,0.0,0.0,0.0,0.0,32,8.64411735534668,0.7105464935302734,0.3756891191005707
ang20191021t194835_r9984_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,2,0,262142,0.0,0.0,0.0,0.0,2,14.752395629882812,0.9473055601119995,0.35151273012161255
ang20191021t194835_r5120_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,18.742538452148438,0.9280480146408081,0.11065386235713959
ang20191021t194835_r512_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,11.09931755065918,1.1643552780151367,0.06523163616657257
ang20191025t161146_r13312_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,5.717884063720703,0.6058056950569153,0.253692626953125
ang20191025t161146_r12800_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,10.402656555175781,0.838546633720398,0.023887943476438522
ang20191025t161146_r9216_c0_w512_h512,0,88,0,262056,0.0,0.0,0.0,0.0,0,137,0,262007,0.0,0.0,0.0,0.0,51,36.49513626098633,1.1813385486602783,0.33720317482948303
ang20191025t161146_r256_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,5.8090057373046875,0.7465953230857849,0.01027014758437872
ang20191025t163632_r7936_c0_w512_h512,0,476,0,261668,0.0,0.0,0.0,0.0,0,543,0,261601,0.0,0.0,0.0,0.0,265,8.454063415527344,0.9157817363739014,0.4745800197124481
ang20191025t163632_r256_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,4.033760070800781,0.5921381115913391,0.005502141546458006
ang20191025t163632_r11520_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,11.255975723266602,1.0515005588531494,0.02522463910281658
ang20191025t163632_r7168_c0_w512_h512,0,173,0,261971,0.0,0.0,0.0,0.0,0,169,0,261975,0.0,0.0,0.0,0.0,12,9.63711166381836,0.9256352782249451,0.14272238314151764
ang20191025t165545_r13312_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,1,0,262143,0.0,0.0,0.0,0.0,1,9.962015151977539,0.8278648853302002,0.5271934270858765
ang20191025t165545_r8704_c0_w512_h512,0,65,0,262079,0.0,0.0,0.0,0.0,0,97,0,262047,0.0,0.0,0.0,0.0,32,11.287887573242188,0.8819925785064697,0.420418918132782
ang20191025t165545_r1792_c0_w512_h512,0,5,0,262139,0.0,0.0,0.0,0.0,0,2,0,262142,0.0,0.0,0.0,0.0,3,8.140199661254883,0.6974635720252991,0.08072899281978607
ang20191025t165545_r3328_c0_w512_h512,0,0,0,262144,0.0,0.0,0.0,0.0,0,0,0,262144,0.0,0.0,0.0,0.0,0,9.062037467956543,1.011873722076416,0.030800044536590576
ang20191025t171141_r9216_c0_w512_h512,0,22,0,262122,0.0,0.0,0.0,0.0,0,46,0,262098,0.0,0.0,0.0,0.0,24,11.755229949951172,0.8505766987800598,0.33160749077796936
